date,quality_grade,AQI,AQI_ranking,PM25,PM10,So2,No2,Co,O3
2017-05-01,良,82,222,40.0,112.0,7.0,44.0,0.7,71.0
2017-05-02,良,95,293,57.0,129.0,9.0,50.0,0.95,105.0
2017-05-03,轻度污染,104,324,72.0,121.0,8.0,47.0,0.85,79.0
2017-05-04,严重污染,420,354,336.0,772.0,2.0,21.0,0.29,79.0
2017-05-05,严重污染,256,312,185.0,438.0,3.0,21.0,0.31,64.0
2017-05-06,良,71,128,31.0,90.0,2.0,32.0,0.36,68.0
2017-05-07,良,64,113,26.0,75.0,3.0,40.0,0.4,78.0
2017-05-08,良,84,255,52.0,109.0,6.0,52.0,0.56,96.0
2017-05-09,良,81,280,45.0,97.0,6.0,25.0,0.51,107.0
2017-05-10,良,64,135,37.0,68.0,3.0,29.0,0.46,87.0
2017-05-11,良,91,271,28.0,130.0,3.0,30.0,0.32,69.0
2017-05-12,轻度污染,109,303,42.0,166.0,4.0,23.0,0.39,90.0
2017-05-13,良,61,142,18.0,71.0,2.0,15.0,0.25,72.0
2017-05-14,优,47,52,11.0,37.0,2.0,15.0,0.28,87.0
2017-05-15,良,58,183,20.0,58.0,5.0,23.0,0.52,94.0
2017-05-16,良,87,342,40.0,88.0,8.0,28.0,0.59,126.0
2017-05-17,轻度污染,118,358,58.0,111.0,8.0,34.0,0.68,151.0
2017-05-18,轻度污染,144,356,79.0,143.0,9.0,50.0,0.82,169.0
2017-05-19,轻度污染,145,351,83.0,152.0,8.0,39.0,0.79,153.0
2017-05-20,轻度污染,115,331,54.0,124.0,8.0,37.0,0.7,131.0
2017-05-20,轻度污染,115,331,54.0,124.0,8.0,37.0,0.7,131.0
2017-05-21,良,93,284,56.0,98.0,14.0,26.0,0.94,123.0
2017-05-22,良,62,241,42.0,60.0,7.0,33.0,1.15,40.0
2017-05-23,优,48,157,17.0,37.0,3.0,28.0,0.36,96.0
2017-05-24,良,54,176,16.0,51.0,2.0,41.0,0.38,77.0
2017-05-25,良,70,232,20.0,82.0,5.0,37.0,0.53,90.0
2017-05-26,良,90,289,43.0,94.0,8.0,48.0,0.58,110.0
