日期,AQI指数,PM2.5,PM10,So2,No2,Co,O3
2017-05-01,82,40,112,7,44,0.7,71
2017-05-02,95,57,129,9,50,0.95,105
2017-05-03,104,72,121,8,47,0.85,79
2017-05-04,420,336,772,2,21,0.29,79
2017-05-05,256,185,438,3,21,0.31,64
2017-05-06,71,31,90,2,32,0.36,68
2017-05-07,64,26,75,3,40,0.4,78
2017-05-08,84,52,109,6,52,0.56,96
2017-05-09,81,45,97,6,25,0.51,107
2017-05-10,64,37,68,3,29,0.46,87
2017-05-11,91,28,130,3,30,0.32,69
2017-05-12,109,42,166,4,23,0.39,90
2017-05-13,61,18,71,2,15,0.25,72
2017-05-14,47,11,37,2,15,0.28,87
2017-05-15,58,20,58,5,23,0.52,94
2017-05-16,87,40,88,8,28,0.59,126
2017-05-17,118,58,111,8,34,0.68,151
2017-05-18,144,79,143,9,50,0.82,169
2017-05-19,145,83,152,8,39,0.79,153
2017-05-20,115,54,124,8,37,0.7,131
2017-05-21,93,56,98,14,26,0.94,123
2017-05-22,62,42,60,7,33,1.15,40
2017-05-23,48,17,37,3,28,0.36,96
2017-05-24,54,16,51,2,41,0.38,77
2017-05-25,70,20,82,5,37,0.53,90
2017-05-26,90,43,94,8,48,0.58,110
2017-05-27,110,65,116,19,45,1.29,154
2017-05-28,150,87,137,15,34,1.36,167
2017-05-29,74,28,88,7,24,0.66,92
2017-05-30,69,39,68,2,36,0.64,91
2017-05-31,117,65,105,3,43,0.75,115
2017-06-01,69,22,56,3,27,0.6,113
2017-06-02,59,22,65,11,36,0.94,53
2017-06-03,60,28,55,4,34,0.69,75
2017-06-04,95,45,89,9,47,0.63,111
2017-06-05,108,63,113,15,59,0.91,119
2017-06-06,55,35,46,2,23,0.5,81
2017-06-07,78,45,53,2,29,0.6,85
2017-06-08,54,23,53,2,51,0.55,63
2017-06-09,89,28,88,4,50,0.59,103
2017-06-10,65,20,70,10,31,0.77,83
2017-06-11,79,31,83,6,46,0.64,88
2017-06-12,71,33,78,15,43,1.08,92
2017-06-13,68,39,62,4,41,0.81,98
2017-06-14,83,36,59,2,45,0.72,106
2017-06-15,104,37,89,3,44,0.59,150
2017-06-16,115,57,124,5,39,0.62,155
2017-06-17,134,79,155,10,36,0.87,177
2017-06-18,130,71,128,10,30,0.84,166
2017-06-19,91,35,58,2,25,0.57,146
2017-06-20,96,31,64,3,24,0.61,157
2017-06-21,101,49,83,7,28,0.86,151
2017-06-22,58,31,27,1,23,0.77,94
2017-06-23,46,18,11,2,18,0.66,85
2017-06-24,40,19,26,2,19,0.5,77
2017-06-25,63,25,44,2,30,0.5,84
2017-06-26,69,22,45,1,34,0.44,104
2017-06-27,135,69,106,5,39,0.79,150
2017-06-28,138,94,124,7,40,1.17,154
2017-06-29,108,59,86,5,30,0.82,152
2017-06-30,127,71,111,2,36,0.84,159
2017-07-01,137,89,132,3,40,0.97,154
2017-07-02,157,93,122,6,31,1.08,157
2017-07-03,88,59,77,2,28,0.81,103
2017-07-04,73,48,55,2,37,0.8,88
2017-07-05,117,82,92,2,36,1.02,116
2017-07-06,96,69,49,3,31,1.37,71
2017-07-07,65,31,38,2,18,0.73,113
2017-07-08,80,36,57,1,28,0.63,129
2017-07-09,125,73,98,2,28,1.02,152
2017-07-10,80,24,52,2,30,0.5,124
2017-07-11,118,43,88,3,40,0.78,171
2017-07-12,136,73,131,3,38,0.92,165
2017-07-13,101,65,93,3,24,0.74,131
2017-07-14,71,32,62,2,34,0.64,112
2017-07-15,71,34,45,2,26,0.89,111
2017-07-16,110,63,84,2,34,1.11,123
2017-07-17,84,53,71,2,28,1.01,105
2017-07-18,87,62,80,2,26,0.89,91
2017-07-19,101,73,83,2,24,0.75,101
2017-07-20,127,96,113,2,29,0.78,104
2017-07-21,43,22,24,2,24,0.67,60
2017-07-22,37,21,35,2,29,0.61,46
2017-07-23,60,41,58,2,35,0.69,52
2017-07-24,60,40,57,2,38,0.76,26
2017-07-25,58,31,48,3,31,0.81,71
2017-07-26,41,21,33,2,29,0.68,62
2017-07-27,58,38,64,2,44,0.93,49
2017-07-28,54,26,57,2,41,0.71,62
2017-07-29,63,31,59,2,37,0.66,79
2017-07-30,83,36,66,2,33,0.65,104
2017-07-31,128,75,100,2,34,0.92,143
2017-08-01,98,67,86,2,29,0.96,92
2017-08-02,51,33,50,3,24,1.04,47
2017-08-03,47,19,37,2,17,0.6,85
2017-08-04,68,20,43,2,34,0.54,92
2017-08-05,75,25,57,2,33,0.62,108
2017-08-06,53,16,33,2,27,0.47,87
