date,AQI,PM25,PM10,So2,No2,Co,O3
2017-05-01,82,40.0,112.0,7.0,44.0,0.7,71.0
2017-05-02,95,57.0,129.0,9.0,50.0,0.95,105.0
2017-05-03,104,72.0,121.0,8.0,47.0,0.85,79.0
2017-05-04,420,336.0,772.0,2.0,21.0,0.29,79.0
2017-05-05,256,185.0,438.0,3.0,21.0,0.31,64.0
2017-05-06,71,31.0,90.0,2.0,32.0,0.36,68.0
2017-05-07,64,26.0,75.0,3.0,40.0,0.4,78.0
2017-05-08,84,52.0,109.0,6.0,52.0,0.56,96.0
2017-05-09,81,45.0,97.0,6.0,25.0,0.51,107.0
2017-05-10,64,37.0,68.0,3.0,29.0,0.46,87.0
2017-05-11,91,28.0,130.0,3.0,30.0,0.32,69.0
2017-05-12,109,42.0,166.0,4.0,23.0,0.39,90.0
2017-05-13,61,18.0,71.0,2.0,15.0,0.25,72.0
2017-05-14,47,11.0,37.0,2.0,15.0,0.28,87.0
2017-05-15,58,20.0,58.0,5.0,23.0,0.52,94.0
2017-05-16,87,40.0,88.0,8.0,28.0,0.59,126.0
2017-05-17,118,58.0,111.0,8.0,34.0,0.68,151.0
2017-05-18,144,79.0,143.0,9.0,50.0,0.82,169.0
2017-05-19,145,83.0,152.0,8.0,39.0,0.79,153.0
2017-05-20,115,54.0,124.0,8.0,37.0,0.7,131.0
2017-05-21,93,56.0,98.0,14.0,26.0,0.94,123.0
2017-05-22,62,42.0,60.0,7.0,33.0,1.15,40.0
2017-05-23,48,17.0,37.0,3.0,28.0,0.36,96.0
2017-05-24,54,16.0,51.0,2.0,41.0,0.38,77.0
2017-05-25,70,20.0,82.0,5.0,37.0,0.53,90.0
2017-05-26,90,43.0,94.0,8.0,48.0,0.58,110.0
2017-05-27,110,65.0,116.0,19.0,45.0,1.29,154.0
2017-05-28,150,87.0,137.0,15.0,34.0,1.36,167.0
2017-05-29,74,28.0,88.0,7.0,24.0,0.66,92.0
2017-05-30,69,39.0,68.0,2.0,36.0,0.64,91.0
2017-05-31,117,65.0,105.0,3.0,43.0,0.75,115.0
2017-06-01,69,22.0,56.0,3.0,27.0,0.6,113.0
2017-06-02,59,22.0,65.0,11.0,36.0,0.94,53.0
2017-06-03,60,28.0,55.0,4.0,34.0,0.69,75.0
2017-06-04,95,45.0,89.0,9.0,47.0,0.63,111.0
2017-06-05,108,63.0,113.0,15.0,59.0,0.91,119.0
2017-06-06,55,35.0,46.0,2.0,23.0,0.5,81.0
2017-06-07,78,45.0,53.0,2.0,29.0,0.6,85.0
2017-06-08,54,23.0,53.0,2.0,51.0,0.55,63.0
2017-06-09,89,28.0,88.0,4.0,50.0,0.59,103.0
2017-06-10,65,20.0,70.0,10.0,31.0,0.77,83.0
2017-06-11,79,31.0,83.0,6.0,46.0,0.64,88.0
2017-06-12,71,33.0,78.0,15.0,43.0,1.08,92.0
2017-06-13,68,39.0,62.0,4.0,41.0,0.81,98.0
2017-06-14,83,36.0,59.0,2.0,45.0,0.72,106.0
2017-06-15,104,37.0,89.0,3.0,44.0,0.59,150.0
2017-06-16,115,57.0,124.0,5.0,39.0,0.62,155.0
2017-06-17,134,79.0,155.0,10.0,36.0,0.87,177.0
2017-06-18,130,71.0,128.0,10.0,30.0,0.84,166.0
2017-06-19,91,35.0,58.0,2.0,25.0,0.57,146.0
2017-06-20,96,31.0,64.0,3.0,24.0,0.61,157.0
2017-06-21,101,49.0,83.0,7.0,28.0,0.86,151.0
2017-06-22,58,31.0,27.0,1.0,23.0,0.77,94.0
2017-06-23,46,18.0,11.0,2.0,18.0,0.66,85.0
2017-06-24,40,19.0,26.0,2.0,19.0,0.5,77.0
2017-06-25,63,25.0,44.0,2.0,30.0,0.5,84.0
2017-06-26,69,22.0,45.0,1.0,34.0,0.44,104.0
2017-06-27,135,69.0,106.0,5.0,39.0,0.79,150.0
2017-06-28,138,94.0,124.0,7.0,40.0,1.17,154.0
2017-06-29,108,59.0,86.0,5.0,30.0,0.82,152.0
2017-06-30,127,71.0,111.0,2.0,36.0,0.84,159.0
2017-07-01,137,89.0,132.0,3.0,40.0,0.97,154.0
2017-07-02,157,93.0,122.0,6.0,31.0,1.08,157.0
2017-07-03,88,59.0,77.0,2.0,28.0,0.81,103.0
2017-07-04,73,48.0,55.0,2.0,37.0,0.8,88.0
2017-07-05,117,82.0,92.0,2.0,36.0,1.02,116.0
2017-07-06,96,69.0,49.0,3.0,31.0,1.37,71.0
2017-07-07,65,31.0,38.0,2.0,18.0,0.73,113.0
2017-07-08,80,36.0,57.0,1.0,28.0,0.63,129.0
2017-07-09,125,73.0,98.0,2.0,28.0,1.02,152.0
2017-07-10,80,24.0,52.0,2.0,30.0,0.5,124.0
2017-07-11,118,43.0,88.0,3.0,40.0,0.78,171.0
2017-07-12,136,73.0,131.0,3.0,38.0,0.92,165.0
2017-07-13,101,65.0,93.0,3.0,24.0,0.74,131.0
2017-07-14,71,32.0,62.0,2.0,34.0,0.64,112.0
2017-07-15,71,34.0,45.0,2.0,26.0,0.89,111.0
2017-07-16,110,63.0,84.0,2.0,34.0,1.11,123.0
2017-07-17,84,53.0,71.0,2.0,28.0,1.01,105.0
2017-07-18,87,62.0,80.0,2.0,26.0,0.89,91.0
2017-07-19,101,73.0,83.0,2.0,24.0,0.75,101.0
2017-07-20,127,96.0,113.0,2.0,29.0,0.78,104.0
2017-07-21,43,22.0,24.0,2.0,24.0,0.67,60.0
2017-07-22,37,21.0,35.0,2.0,29.0,0.61,46.0
2017-07-23,60,41.0,58.0,2.0,35.0,0.69,52.0
2017-07-24,60,40.0,57.0,2.0,38.0,0.76,26.0
2017-07-25,58,31.0,48.0,3.0,31.0,0.81,71.0
2017-07-26,41,21.0,33.0,2.0,29.0,0.68,62.0
2017-07-27,58,38.0,64.0,2.0,44.0,0.93,49.0
