date,AQI,PM25,PM10,So2,No2,Co,O3,AQI_pred
2017-05-01,82.0,40.0,112.0,7.0,44.0,0.7,71.0,84.10549
2017-05-02,95.0,57.0,129.0,9.0,50.0,0.95,105.0,99.84346
2017-05-03,104.0,72.0,121.0,8.0,47.0,0.85,79.0,102.1628
2017-05-04,420.0,336.0,772.0,2.0,21.0,0.29,79.0,413.18726
2017-05-05,256.0,185.0,438.0,3.0,21.0,0.31,64.0,255.36435
2017-05-06,71.0,31.0,90.0,2.0,32.0,0.36,68.0,71.95281
2017-05-07,64.0,26.0,75.0,3.0,40.0,0.4,78.0,64.44579
2017-05-08,84.0,52.0,109.0,6.0,52.0,0.56,96.0,88.20332
2017-05-09,81.0,45.0,97.0,6.0,25.0,0.51,107.0,83.41031
2017-05-10,64.0,37.0,68.0,3.0,29.0,0.46,87.0,68.38009
2017-05-11,91.0,28.0,130.0,3.0,30.0,0.32,69.0,94.01582
2017-05-12,109.0,42.0,166.0,4.0,23.0,0.39,90.0,116.59855
2017-05-13,61.0,18.0,71.0,2.0,15.0,0.25,72.0,60.160652
2017-05-14,47.0,11.0,37.0,2.0,15.0,0.28,87.0,45.545456
2017-05-15,58.0,20.0,58.0,5.0,23.0,0.52,94.0,57.54418
2017-05-16,87.0,40.0,88.0,8.0,28.0,0.59,126.0,88.42453
2017-05-17,118.0,58.0,111.0,8.0,34.0,0.68,151.0,113.71351
2017-05-18,144.0,79.0,143.0,9.0,50.0,0.82,169.0,142.64406
2017-05-19,145.0,83.0,152.0,8.0,39.0,0.79,153.0,140.7207
2017-05-20,115.0,54.0,124.0,8.0,37.0,0.7,131.0,106.563675
2017-05-21,93.0,56.0,98.0,14.0,26.0,0.94,123.0,92.56777
2017-05-22,62.0,42.0,60.0,7.0,33.0,1.15,40.0,65.34335
2017-05-23,48.0,17.0,37.0,3.0,28.0,0.36,96.0,53.336895
2017-05-24,54.0,16.0,51.0,2.0,41.0,0.38,77.0,54.77089
2017-05-25,70.0,20.0,82.0,5.0,37.0,0.53,90.0,70.70871
2017-05-26,90.0,43.0,94.0,8.0,48.0,0.58,110.0,87.771164
2017-05-27,110.0,65.0,116.0,19.0,45.0,1.29,154.0,117.36392
2017-05-28,150.0,87.0,137.0,15.0,34.0,1.36,167.0,140.19284
2017-05-29,74.0,28.0,88.0,7.0,24.0,0.66,92.0,74.143394
2017-05-30,69.0,39.0,68.0,2.0,36.0,0.64,91.0,68.916084
2017-05-31,117.0,65.0,105.0,3.0,43.0,0.75,115.0,106.7156
2017-06-01,69.0,22.0,56.0,3.0,27.0,0.6,113.0,72.08693
2017-06-02,59.0,22.0,65.0,11.0,36.0,0.94,53.0,59.89142
2017-06-03,60.0,28.0,55.0,4.0,34.0,0.69,75.0,55.267532
2017-06-04,95.0,45.0,89.0,9.0,47.0,0.63,111.0,88.33465
2017-06-05,108.0,63.0,113.0,15.0,59.0,0.91,119.0,104.343735
2017-06-06,55.0,35.0,46.0,2.0,23.0,0.5,81.0,59.917694
2017-06-07,78.0,45.0,53.0,2.0,29.0,0.6,85.0,72.75559
2017-06-08,54.0,23.0,53.0,2.0,51.0,0.55,63.0,56.848328
2017-06-09,89.0,28.0,88.0,4.0,50.0,0.59,103.0,87.68183
2017-06-10,65.0,20.0,70.0,10.0,31.0,0.77,83.0,65.07263
2017-06-11,79.0,31.0,83.0,6.0,46.0,0.64,88.0,72.33935
2017-06-12,71.0,33.0,78.0,15.0,43.0,1.08,92.0,73.0888
2017-06-13,68.0,39.0,62.0,4.0,41.0,0.81,98.0,75.25498
2017-06-14,83.0,36.0,59.0,2.0,45.0,0.72,106.0,81.34841
2017-06-15,104.0,37.0,89.0,3.0,44.0,0.59,150.0,108.37486
2017-06-16,115.0,57.0,124.0,5.0,39.0,0.62,155.0,116.728096
2017-06-17,134.0,79.0,155.0,10.0,36.0,0.87,177.0,139.90071
